,area,bbox_area,convex_area,eccentricity,equivalent_diameter,extent,filled_area,major_axis_length,minor_axis_length,orientation,perimeter,solidity,shannon_entropy,num_subregions,proportion_occupied,subregion_mean_area,subregion_std_area,red_color_mean,red_color_std,red_color_median,red_color_shannon_entropy,green_color_mean,green_color_std,green_color_median,green_color_shannon_entropy,blue_color_mean,blue_color_std,blue_color_median,blue_color_shannon_entropy,ratio_r_b,ratio_r_g,ratio_b_g
20180129-IceEdge-sample0127-nettow-20ml_000001_0000.tif,2040,3835,2049,0.4812818716052685,50.964778732569144,0.9682012339819649,2040,55.26275870738375,48.44144928761351,-0.0748612018678011,171.79898987322335,0.9956076134699854,12.278965639167842,1.0,0.6151960784313726,1255.0,0.0,156.53033786840774,19.67907998166408,189.0,10.682945745950713,158.3871319677313,22.703782443022828,177.0,10.708926178568031,157.4897922448953,26.99895836674208,163.0,10.690035615257907,0.993907831340614,0.9882768626702462,0.9943345162470724
20180129-IceEdge-sample0127-nettow-20ml_000001_0001.tif,2059,4148,2173,0.6657777858984643,51.201564650015335,0.8799145299145299,2059,61.49797440089116,45.88671843335115,-0.2760747469028347,189.55634918610406,0.9475379659456972,12.393278654608464,7.0,0.4764448761534726,945.0,0.0,175.98694355075938,27.866042201155544,178.25,10.813601935112462,181.0546924191661,31.46885878721512,171.25,10.835167482131732,172.18207177187438,29.78362993818592,187.0,10.775626491253,1.0220979556101875,0.9720098451981891,0.9509948042288217
20180129-IceEdge-sample0127-nettow-20ml_000001_0002.tif,4390,12282,6624,0.724818332607854,74.76310320865075,0.49292611722434315,4390,112.02886631273606,77.18117212651244,-1.2191684307667834,419.6579002700189,0.6627415458937198,13.64827148303091,20.0,0.23075170842824602,330.3333333333333,331.4516891225963,183.27714996260178,15.556369151150614,199.0,12.069660829649964,190.24582680291093,16.46256178639865,207.0,12.068619717194506,191.70026069109858,19.442823182948427,213.0,12.052554875059725,0.9560610366510164,0.9633701461029761,1.0076450238758425
20180129-IceEdge-sample0127-nettow-20ml_000001_0003.tif,1844,3834,1894,0.6374797176257422,48.45465633447048,0.9331983805668016,1844,56.60139743225888,43.609516645215955,-0.14296717458100144,173.9350288425444,0.9736008447729673,12.326813262195273,4.0,0.5363340563991323,329.3333333333333,144.87082368632946,186.4903846153846,23.07517745652167,187.25,10.745865193740485,191.60829959514166,21.289379858942127,196.25,10.75423378883095,184.7904858299595,24.22964083782556,180.75,10.72554239796542,1.0091990601019867,0.973289700965089,0.9644179621676731
20180129-IceEdge-sample0127-nettow-20ml_000001_0004.tif,7069,12240,8529,0.8131496997095836,94.87112491023211,0.7960585585585586,7069,138.4097908746181,80.56205647198647,-1.514601503267899,477.072113832392,0.8288193223121116,14.254505363932287,9.0,0.35577875229876926,359.0,163.05739567929535,204.6521262034541,21.04332641472774,243.0,12.681278432949888,205.94706939105276,21.064188014433693,247.25,12.666822855089245,209.36956313031817,26.113261464634682,253.0,12.661028802354377,0.9774683728793578,0.9937122524179267,1.0166183172665924
20180129-IceEdge-sample0127-nettow-20ml_000001_0005.tif,2420,6527,2765,0.9317457137054928,55.50891548444353,0.6998264893001735,2420,97.73413803360678,35.48838455843357,-1.3850513981752894,245.1543289325507,0.8752260397830018,12.74445971468872,5.0,0.22479338842975208,265.0,202.0,207.0957408500808,29.355550466217696,234.0,11.164397971325188,211.55096829347144,31.570398239813855,240.5,11.160358377380632,208.11600525210136,29.58753317819689,239.0,11.154024073378789,0.9950976168277655,0.9789401699300654,0.9837629528757109
20180129-IceEdge-sample0127-nettow-20ml_000001_0006.tif,1560,3240,1560,0.9294477425119747,44.56740613707347,1.0,1560,75.04665215717488,27.688746209726922,-1.5707963267948966,174.0,1.0,11.814866405762748,4.0,0.6314102564102564,328.0,45.2621990922521,137.58397435897436,11.305917052830374,97.5,10.29002235423664,135.99551282051283,7.770518038959444,76.5,10.215159620074532,144.46331679073617,25.49241504559759,86.25,10.187824493727403,0.9523800049411371,1.0116802496311623,1.062265318866801
20180129-IceEdge-sample0127-nettow-20ml_000001_0007.tif,2076,3843,2081,0.30879516349411523,51.41250134811764,0.9815602836879432,2076,53.64341628303297,51.021785546570676,0.23409143742619085,174.14213562373095,0.9975973089860644,12.28785811221271,1.0,0.6353564547206165,1319.0,0.0,130.88163307217187,15.568029322814176,139.0,10.693056728736387,133.13207252944227,17.586864465298294,140.0,10.719109220685862,137.8417442643412,22.616776101994787,135.0,10.697479534469103,0.9495065066876851,0.9830961885103027,1.0353759364322777
20180129-IceEdge-sample0127-nettow-20ml_000001_0008.tif,2650,5166,2669,0.9739929692160654,58.08687281605183,0.9636363636363636,2650,124.2176610169592,28.145018208670606,1.5521617541068438,262.72792206135784,0.9928812289246909,12.744927214203702,2.0,0.6490566037735849,1718.0,0.0,167.3978017357631,11.750592255075809,132.0,11.228537490627227,163.8039519424398,10.432964260409907,129.0,11.203716689817078,142.69973115713276,13.05852983201832,106.5,11.041132690790104,1.1730772046895745,1.0219399455917044,0.8711617116983661
20180129-IceEdge-sample0127-nettow-20ml_000001_0009.tif,3256,5712,3282,0.9297126885871326,64.38686168511158,0.969047619047619,3256,107.8333612657237,39.713479059996374,-1.5686469655939725,250.3847763108502,0.992078001218769,13.244233281572432,15.0,0.23003685503685503,360.5,25.5,179.54700198865152,4.404390561753423,184.5,11.66015948258424,190.2099878634661,2.2027933324800624,194.0,11.661416844880378,189.45543233207425,3.166451443509976,194.0,11.657725207948195,0.9477004685405093,0.9439409781022197,0.9960330393799642
