,area,bbox_area,convex_area,eccentricity,equivalent_diameter,extent,filled_area,major_axis_length,minor_axis_length,orientation,perimeter,solidity,shannon_entropy,num_subregions,proportion_occupied,subregion_mean_area,subregion_std_area,blue_color_std,blue_color_median,blue_color_mean,blue_color_shannon_entropy,red_color_std,red_color_median,red_color_mean,red_color_shannon_entropy,green_color_std,green_color_median,green_color_mean,green_color_shannon_entropy,ratio_r_b,ratio_r_g,ratio_b_g
20180120-PhaeoEx-T0-concentrated-net2_000077_0007.tif,31144,82079,41961,0.9480304048344182,199.13254977836223,0.42818450539630165,31144,384.9037865308448,122.46858948335573,-1.1652903014773008,1135.17575695736,0.7422130073163176,16.352838772251555,45.0,0.4425250449524788,1126.25,1634.7441759594476,18.64216987138881,231.0,185.31948030365584,14.748215385595392,16.472475168147835,225.0,184.85456075466067,14.775378938677855,17.663838317787565,234.0,190.16872751875948,14.780094381589265,0.9974912537622415,0.9720555170482771,0.9745002909869853
20180120-PhaeoEx-T0-concentrated-net2_000076_0006.tif,3131,5754,3146,0.9769079019874307,63.13883919241622,0.9952320406865861,3131,139.81661625521278,29.873334524966925,-0.0012475069488374678,293.31370849898474,0.9952320406865861,12.98201380688541,9.0,0.48067709996806135,250.33333333333334,18.926759422104517,34.11231475973062,158.5,161.26158931977116,11.369680777776413,27.40259259077817,118.0,148.68911315956774,11.426730793464598,31.37593030899465,127.5,152.70216041534223,11.399547375924307,0.9220367589502481,0.9737197742005796,1.0560530963094936
20180120-PhaeoEx-T0-concentrated-net2_000077_0009.tif,3163,6016,3736,0.830130981703958,63.4606703399619,0.8448183760683761,3163,96.65459588305542,53.89155119928029,-0.003284272622274052,297.39696961967,0.846627408993576,13.202115221957689,14.0,0.04394562124565286,87.0,0.0,19.21510664555965,255.0,248.66988220733802,11.615536187218481,17.95834152463356,255.0,248.99947112075532,11.617346587565358,17.244066813100225,255.0,250.2464485961975,11.618584040698165,1.0013254074457738,0.9950170023093742,0.9936999450034016
20180120-PhaeoEx-T0-concentrated-net2_000028_0004.tif,37207,66097,43313,0.9191655296478263,217.65436761287654,0.6515541546274407,37207,379.979672471605,149.66314938194634,0.0840545729611498,1218.8610024378484,0.8590261584281855,16.643594182064383,49.0,0.4357244604509904,798.25,2029.3165321112426,18.178804551641193,171.0,150.42864470711055,15.068415899301428,17.35652561294468,159.0,136.8216823571744,15.050353058315915,17.9973160899912,168.0,145.79626301960909,15.059978888388581,0.90954540356041,0.9384443710931903,1.0317729795782107
20180120-PhaeoEx-T0-concentrated-net2_000071_0013.tif,1869,3760,1893,0.8830635746440789,48.78201214699963,0.9420362903225806,1869,72.59225549634968,34.06416036361982,0.0711891180771664,181.89949493661166,0.9873217115689382,12.364465241579536,5.0,0.4146602461209203,191.75,83.00414146294148,19.75009291747901,244.0,208.46009197140336,10.800138055374006,20.19433067305861,228.75,193.2846165317091,10.765023575365126,20.938504345382025,241.0,201.20217777768013,10.77405905185397,0.9272020112042547,0.960648729882439,1.0360727417262
20180120-PhaeoEx-T0-concentrated-net2_000015_0008.tif,3331,5589,3375,0.5721226352123356,65.12419614484948,0.9669085631349782,3331,73.13636075940964,59.984109064958524,1.558351892348415,228.62741699796953,0.9869629629629629,13.173959036543241,3.0,0.38126688682077453,423.3333333333333,414.2465717688225,24.840355927418955,255.0,210.7310096720246,11.602876459044378,21.252531746098224,254.0,203.02458753012712,11.581265235526784,20.800078872369873,255.0,204.8222108402418,11.582986514118446,0.9634300516383824,0.9912234942551381,1.0288484281443069
20180120-PhaeoEx-T0-concentrated-net2_000067_0004.tif,4127,7722,4842,0.7398455514590002,72.48903090207521,0.8019821220365332,4127,94.22516150723314,63.39249825239071,-0.1405221931651232,333.2670273047588,0.852333746385791,13.57995252206925,11.0,0.18463775139326388,91.5,34.93923296238771,13.49823109526029,255.0,239.7320883711687,11.994690802578829,12.439362752145497,253.5,238.40875099866372,11.996139634370383,15.042652982964926,254.5,240.03718714469684,11.994165621205678,0.9944799322381237,0.9932159005635594,0.9987289520546487
20180120-PhaeoEx-T0-concentrated-net2_000054_0001.tif,19010,33033,21457,0.8902825944297064,155.57725973102703,0.7044654437650547,19010,245.28245082156306,111.70371305432386,0.006821459496389238,731.4041122946064,0.8859579624365009,15.718784433966718,34.0,0.3212519726459758,493.8333333333333,678.7913073168282,15.249126281911796,171.5,154.17701096267774,14.131420180903564,15.44650018623089,160.5,142.41767272046613,14.134729535329717,15.686481093842703,170.5,151.5052897471224,14.137893024977652,0.9237283290888403,0.9400178235240207,1.0176345078116726
20180120-PhaeoEx-T0-concentrated-net2_000056_0000.tif,377011,561288,426794,0.7556333159513454,692.8385915926945,0.7013375251134757,377011,866.9703008992279,567.8611075380212,0.6372664933035971,4013.8136341605946,0.8833559047221845,20.04293110484074,633.0,0.23218155438435484,225.69973190348526,276.716841025563,7.736950186313381,227.0,209.20916471281492,18.470697513996697,7.579674467932682,212.0,193.81384643362657,18.44888944258692,7.483227891772273,221.0,201.6932635337644,18.45550742671301,0.926411836210322,0.9609336625225523,1.0372640168906402
20180120-PhaeoEx-T0-concentrated-net2_000082_0004.tif,5880,10710,6642,0.5062002959152309,86.52542125319447,0.7682257643062451,5880,98.76289557485207,85.174695816492,-1.2099874731866183,342.61017305526644,0.8852755194218609,14.057583248577803,11.0,0.316156462585034,343.0,298.4225192575118,13.560734527712091,187.75,174.191219473787,12.48042499129209,13.611205058371318,171.0,156.34171198013607,12.466221820281557,13.18792182787538,183.0,167.2527642744289,12.474884432923005,0.8975292351269348,0.9347630973895897,1.0414848461815163
20180120-PhaeoEx-T0-concentrated-net2_000032_0013.tif,59248,91930,72429,0.592380828800752,274.65778078632496,0.7183839755559328,59248,330.1467737935399,265.98541831044025,0.8194274090699328,1591.129075763134,0.8180148835411231,17.39545667748079,153.0,0.18302727518228462,223.92857142857142,211.70693949725054,15.691724343080546,254.0,232.519214489259,15.813722871462346,15.3438337904483,246.0,225.81104274526416,15.808353862243305,15.74206896031196,252.0,230.23350554003684,15.809641537314132,0.9711500326597536,0.9807914022574632,1.009927785896587
