,area,bbox_area,convex_area,eccentricity,equivalent_diameter,extent,filled_area,major_axis_length,minor_axis_length,orientation,perimeter,solidity,shannon_entropy,num_subregions,proportion_occupied,subregion_mean_area,subregion_std_area,blue_color_std,blue_color_median,blue_color_mean,blue_color_shannon_entropy,red_color_std,red_color_median,red_color_mean,red_color_shannon_entropy,green_color_std,green_color_median,green_color_mean,green_color_shannon_entropy,ratio_r_b,ratio_r_g,ratio_b_g
20180121-PhaeoEx-Cont-1-T1-200ml_000033_0003.tif,6679,19280,11040,0.9838941080185989,92.21695570385172,0.46381944444444445,6679,275.2446894794639,49.20062088455858,1.4312959434636552,611.7056274847714,0.604981884057971,14.205739826194375,6.0,0.3042371612516844,1998.0,0.0,12.032372060432257,223.0,194.65390908584703,12.623064178090644,9.509792985902882,209.0,181.211951549111,12.621070194733681,10.954698353631233,220.25,190.72944283174672,12.620052345162806,0.9309443226706133,0.9500995171939361,1.0205760903814012
20180121-PhaeoEx-Cont-1-T1-200ml_000022_0004.tif,8861,18375,10778,0.8964742708948026,106.21758614230639,0.6261748286340187,8861,176.7345122672725,78.31031883348763,1.1591093559283934,481.82337649086287,0.8221376878827241,14.49364259487387,5.0,0.5009592596772373,887.8,702.3962983957134,15.407096044511551,232.5,176.93854879527197,12.876158768640797,12.305502836158748,233.0,179.25323258566863,12.91658632193703,13.114543501852625,227.0,181.46853142558547,12.932832923806492,1.0130818513328879,0.9877923801856232,0.9750370899310931
20180121-PhaeoEx-Cont-1-T1-200ml_000034_0012.tif,2700,4940,2754,0.8892677589509861,58.632301428350395,0.9493670886075949,2700,88.46986135717994,40.46496303762285,1.5127059495560309,223.55634918610406,0.9803921568627451,12.977361330506689,13.0,0.1262962962962963,86.0,10.0,5.835086366968171,205.5,200.3280689131765,11.391539431316213,5.7028555141664965,190.0,187.7555232707543,11.393421331841584,5.192145739129542,202.0,199.6380133278726,11.39418536750549,0.9372402194528655,0.9404798221589028,1.0034565340227595
20180121-PhaeoEx-Cont-1-T1-200ml_000002_0016.tif,1279,2700,1281,0.45260626385879205,40.35434769286047,0.989938080495356,1279,43.59443577416802,38.873614999544266,-1.4586424960334559,137.65685424949237,0.9984387197501952,11.80081609414426,1.0,0.6442533229085223,824.0,0.0,13.655112984621587,186.0,177.59531252593536,10.21278269352129,8.424989203952764,187.0,171.59061828670278,10.204558925820201,4.855007540539804,181.75,174.60845185321597,10.230442186836447,0.9661888922977306,0.98271656649788,1.0171060486535342
20180121-PhaeoEx-Cont-1-T1-200ml_000032_0001.tif,3624,6298,3672,0.784132955098832,67.92805098131574,0.9110105580693816,3624,87.50187069451806,54.303036954218136,1.3800703787337234,242.42640687119285,0.9869281045751634,13.38260489149057,40.0,0.15673289183222958,75.5,14.5,13.60018197207883,234.0,225.91567278590045,11.798933083683677,11.831528893086855,236.0,225.09812059916172,11.80070150829332,13.670946000614173,243.5,225.6776190582638,11.793316698339458,0.9963811621537496,0.9974321846290285,1.001054839769358
20180121-PhaeoEx-Cont-1-T1-200ml_000032_0015.tif,4981,8084,5382,0.5362176008641077,79.63671372128465,0.9122710622710622,4981,90.21076720780025,76.14508504704489,-0.213082924618685,313.1543289325507,0.9254923820141211,13.856801083090318,28.0,0.10379441879140734,86.0,13.73559851869101,14.553769285131644,255.0,238.74586038201392,12.266882187534303,11.3170097951035,255.0,242.876993300919,12.272991521279563,10.207565721555385,255.0,244.98581295039256,12.27575669201781,1.0173034745494431,0.9913920744059552,0.9745293309305132
20180121-PhaeoEx-Cont-1-T1-200ml_000031_0001.tif,3303,5925,3717,0.5213714838186758,64.8499052910661,0.8886198547215496,3303,74.13403173410714,63.2607797018389,-0.6782137510181692,280.698484809835,0.8886198547215496,13.193388937592163,7.0,0.3172873145625189,346.0,187.45310524679675,16.980932915542706,177.0,153.32991226674784,11.621379879483888,16.353769720658853,163.0,137.76099415931557,11.598893635347773,17.326146825474737,173.0,147.05956019833533,11.607992662116983,0.8984613120997093,0.9367700676754437,1.042638180475692
20180121-PhaeoEx-Cont-1-T1-200ml_000005_0013.tif,4303,8250,5280,0.9114176404199015,74.01857713436138,0.7895412844036698,4303,132.17313795436522,54.386939168711436,-0.0022046729571201253,349.4386001800126,0.8149621212121212,13.545194030701895,9.0,0.3227980478735766,227.33333333333334,67.4009561422454,24.904774096586273,255.0,212.3772524264869,11.97099682568913,25.247280735258606,255.0,206.49570852712958,11.946697103629235,24.72448151349987,255.0,210.19294935938547,11.962929844852846,0.9723061494008489,0.9824102528485178,1.0103918950362447
20180121-PhaeoEx-Cont-1-T1-200ml_000006_0012.tif,3378,5742,3443,0.8690271681474216,65.58203398885536,0.9690189328743546,3378,95.22466889557177,47.11377323760722,0.03542875010382158,249.45584412271572,0.9811211153064188,13.2841966915322,8.0,0.22291296625222023,187.25,62.79082337412052,17.490051754655244,198.5,183.98369264334974,11.686170774958438,11.185219905425862,185.5,176.63549830799585,11.705467646851634,11.422274938622586,192.0,182.85666496814525,11.707027935440117,0.9600606215160694,0.9659779059120805,1.0061634487066733
20180121-PhaeoEx-Cont-1-T1-200ml_000030_0016.tif,8668,18468,10948,0.8289796054937831,105.05446384501893,0.6058149287112106,8668,160.6116243531447,89.82668192542852,0.2283257059395194,519.3624817342637,0.7917427840701498,14.57885893256218,15.0,0.27711121365943703,251.88888888888889,130.94905238674946,26.018651618805823,248.5,218.94065773743455,13.005896842711499,25.99256086067423,241.0,209.70505345881287,12.988949430060773,27.532865328824588,248.5,215.69848360885297,12.987301454756695,0.9578168606321741,0.9722138512530827,1.0150310473877087
20180121-PhaeoEx-Cont-1-T1-200ml_000022_0008.tif,1780,3496,1786,0.866842587299497,47.60636921283317,0.9888888888888889,1780,68.7616340154928,34.28330736449076,-1.552132726252078,173.6568542494924,0.9966405375139977,12.223215781009625,3.0,0.5353932584269663,934.0,0.0,13.687067297628074,154.75,149.33190761468217,10.582617695550127,8.802399419200517,157.75,148.84567423515617,10.671182136479361,5.092907563721653,159.75,148.0536479053406,10.661250233849108,0.9967439418186459,1.0053495901048108,1.008633760312065
20180121-PhaeoEx-Cont-1-T1-200ml_000003_0001.tif,5379,10224,6223,0.917237008420791,82.75720821252031,0.7623299319727891,5379,139.4345996133145,55.54264352606922,1.4596089686450509,398.8944443027283,0.8643740960951309,13.940983562599454,12.0,0.1939022123071203,117.25,65.39447606640793,19.604044544509968,255.0,240.71970462596008,12.366298149736823,19.873415978454318,253.0,232.00892642884054,12.351476616508162,20.274691440211704,254.0,234.06779697631106,12.350557442622378,0.9638136054933488,0.9912039564003805,1.0284187219924243
20180121-PhaeoEx-Cont-1-T1-200ml_000001_0021.tif,2048,4182,2110,0.8640137601097534,51.064611891383386,0.8865800865800866,2048,73.41205304391566,36.960633761766125,-0.1489211633645187,190.2842712474619,0.9706161137440759,12.472043461377584,2.0,0.4365234375,447.0,60.0,20.583364173841872,255.0,210.3402388629938,10.90567415140208,19.524958215281572,244.5,196.0559867300112,10.867492887529963,19.507963931669188,250.5,201.20739387078407,10.88855605994648,0.9320897788735196,0.974397525649176,1.045390205680388
20180121-PhaeoEx-Cont-1-T1-200ml_000020_0001.tif,8972,16728,10945,0.8413815496312094,106.88079900227112,0.7049025769956002,8972,155.81283441324922,84.20773247532249,1.38070195221093,561.4751801064718,0.8197350388305162,14.70656823071006,31.0,0.07556843513152028,101.0,0.0,9.873504487726246,246.0,239.60271542417718,13.122071679895672,9.024381941154482,236.5,231.03668671648555,13.122558135667218,10.672466879348057,242.0,236.05357595299472,13.120753724833808,0.9642490332693981,0.9787468195884981,1.0150353133048458
