,area,bbox_area,convex_area,eccentricity,equivalent_diameter,extent,filled_area,major_axis_length,minor_axis_length,orientation,perimeter,solidity,shannon_entropy,num_subregions,proportion_occupied,subregion_mean_area,subregion_std_area,red_color_mean,red_color_std,red_color_median,red_color_shannon_entropy,green_color_mean,green_color_std,green_color_median,green_color_shannon_entropy,blue_color_mean,blue_color_std,blue_color_median,blue_color_shannon_entropy,ratio_r_b,ratio_r_g,ratio_b_g
20180129-IceEdge-sample0127-0m-500ml_000001_0000.tif,1749,3456,1768,0.8231885100110528,47.18999855628097,0.9760044642857143,1749,63.80920095347458,36.22883224982118,-1.5239285174516837,171.0710678118655,0.9892533936651584,12.350308459826145,14.0,0.2624356775300172,148.66666666666666,62.51044357189889,222.13427219752242,3.0669416349417413,228.5,10.765982212281726,233.791941269475,3.618740475109487,240.0,10.767268382050025,231.21982280089875,5.385566410800373,240.0,10.763823829685666,0.9607060048168975,0.9501365658343389,0.9889982586456582
20180129-IceEdge-sample0127-0m-500ml_000001_0001.tif,27697,36432,27787,0.5560238304066725,187.78955154781588,0.906315445026178,27697,208.21721486299987,173.06314231544525,0.12380671470454557,628.8772003600252,0.9967610753229927,16.21131087940309,11.0,0.4078781095425497,11287.0,0.0,178.460112034981,8.323477328554395,221.0,14.638938609284473,179.98518538065682,7.14091648759612,224.0,14.628681831440334,190.36204728730357,10.757317611630262,240.0,14.61414114387992,0.9374773731322631,0.9915266729178271,1.057653977935464
20180129-IceEdge-sample0127-0m-500ml_000001_0002.tif,1746,3366,1746,0.7143573676085566,47.149509489575756,0.9977142857142857,1746,57.61085885641307,40.31498867697885,-0.00862552383124987,164.82842712474618,1.0,11.794915727303364,1.0,0.8419243986254296,1470.0,0.0,90.73068500127323,26.521517919840885,56.0,10.306389783034378,86.08689228418643,28.015740403333492,46.0,10.208410970828078,84.6769320091673,27.91575107822883,37.5,10.110196267350474,1.0714923515586339,1.0539430869656312,0.9836216613515955
20180129-IceEdge-sample0127-0m-500ml_000001_0003.tif,1781,3417,1781,0.7274628578170467,47.61973991081141,0.9977591036414566,1781,58.75834343126884,40.31686470502081,0.00815712040259976,166.2426406871193,1.0,11.851778830354414,1.0,0.8338012352610893,1485.0,0.0,77.56993563913981,22.183408601754266,44.0,10.347843270346008,76.98323771576366,23.16426693828995,37.0,10.254800403377924,79.54536167408138,24.42062182526631,37.0,10.199867695215428,0.9751660437093063,1.0076211126056083,1.0332815822553156
20180129-IceEdge-sample0127-0m-500ml_000001_0004.tif,1488,3186,1500,0.61780284004754,43.52677845379694,0.9106487148102815,1488,49.56300312456259,38.97302695103948,-1.0630655458436278,146.8700576850888,0.992,11.900942366605587,1.0,0.6512096774193549,969.0,0.0,123.98277350067617,4.6974398789741185,110.0,10.370496743284747,124.37730731988279,2.702926329616361,113.5,10.328476103437222,132.7087806325866,5.41008625590605,122.5,10.255910211453509,0.9342469496719363,0.9968279276364143,1.066985477433406
20180129-IceEdge-sample0127-0m-500ml_000001_0005.tif,2213,4560,2309,0.915432157784412,53.08181527132352,0.8753955696202531,2213,86.1490853871411,34.67262184723978,0.1111529434573521,211.79898987322332,0.9584235599826765,12.520495135258178,6.0,0.4496159060099413,491.5,426.5,167.24816541143886,8.66599795940489,204.0,10.953028224595306,169.9382035949556,7.835893639057658,218.0,10.93672254650354,182.2428179013054,15.539056366426843,231.5,10.920078311388972,0.9177215724463449,0.9841704918222602,1.0724064044814643
20180129-IceEdge-sample0127-0m-500ml_000001_0006.tif,1426,3042,1426,0.928766568098343,42.61032258493641,1.0,1426,71.58212067269312,26.5329983228432,-1.5707963267948966,166.0,1.0,11.923647042635713,2.0,0.5448807854137447,776.0,0.0,159.1647966339411,13.094808323135718,167.5,10.366508803163537,162.1023842917251,13.993618653174945,172.5,10.341591335033423,173.24964936886397,24.402033863209187,183.5,10.313172679803094,0.9187019841815959,0.9818781958660312,1.0687668175014495
20180129-IceEdge-sample0127-0m-500ml_000001_0007.tif,2725,5325,2943,0.6135385260026738,58.90312181373173,0.8397534668721109,2725,67.92048312236867,53.63441389292648,-0.9814107234987182,216.60407640085654,0.9259259259259259,12.878924666501073,2.0,0.44990825688073394,1204.0,0.0,185.01545498972902,19.64180548927775,208.0,11.318180906013554,191.60940078031072,21.47512432861498,229.0,11.295855416748964,188.2346504922662,23.859372480447878,218.0,11.268467800422032,0.9828979654164712,0.9655865225624187,0.9823873449094817
20180129-IceEdge-sample0127-0m-500ml_000001_0008.tif,5079,14928,8529,0.9959518800994999,80.41631456184679,0.5380296610169492,5079,365.6929346309396,32.871406472043276,-0.0016663137173596025,647.9655121145938,0.5954977136827295,13.876167382788621,1.0,0.2104745028548927,1069.0,0.0,237.19671383969535,9.133136932993573,255.0,12.291959775306584,237.26428077736168,7.9279914626580785,255.0,12.288164719829004,242.42514179143507,16.892858524150686,255.0,12.293578988819128,0.9784328147109516,0.9997152249911155,1.0217515295482513
20180129-IceEdge-sample0127-0m-500ml_000001_0009.tif,1296,2704,1296,0.0,40.621650015438455,1.0,1296,41.55317877932646,41.55317877932646,0.7853981633974483,140.0,1.0,11.697541498905522,19.0,0.24614197530864199,134.0,42.0,125.06404320987657,17.66597144979827,116.75,10.224503655041241,109.66898148148148,23.891939985806584,99.0,10.192689167134134,84.62191358024691,28.65402930202684,52.0,9.911488326291922,1.477915564876448,1.1403775390308943,0.7716121043262906
20180129-IceEdge-sample0127-0m-500ml_000001_0010.tif,7158,26909,16954,0.9943050976050292,95.46647925431363,0.3585274229902329,7158,466.858146429277,49.7535282113246,-0.04995678387270133,853.0609665440988,0.4222012504423735,14.368163949632391,3.0,0.20564403464654932,1468.0,0.0,198.48663676286998,6.996083574520902,210.5,12.787276967904987,203.7642033923708,8.694250468994657,217.0,12.781987935994321,215.3703595581033,10.010650707381265,230.5,12.783363979710987,0.9216060983049138,0.9740996380049234,1.0569587590583
20180129-IceEdge-sample0127-0m-500ml_000001_0011.tif,1685,3528,1718,0.926580261879716,46.318556031883695,0.9530542986425339,1685,76.94672438292936,28.93943883784032,-1.5265515155639957,181.07106781186548,0.980791618160652,11.983139457601704,1.0,0.6059347181008902,1021.0,0.0,145.3057597131741,17.695989223160886,163.5,10.426173526612878,146.80867660925037,13.114954517844819,174.5,10.42088264740006,154.51316295613623,23.318298331659502,190.0,10.350524250454738,0.940410233880359,0.9897627515567321,1.0524797752069677
20180129-IceEdge-sample0127-0m-500ml_000001_0012.tif,10526,28497,14810,0.8118376561781487,115.76752328646546,0.5230310559006212,10526,173.84890114947385,101.50745700255563,1.1413753767174586,633.6883835420682,0.7107359891964888,14.877421372892432,22.0,0.22515675470264107,285.25,473.2176428452346,210.1261874735785,21.151437199672237,228.0,13.297239427627805,217.80259502309522,23.328420934731785,237.5,13.292791406323483,218.2263521923987,23.560198168156415,237.5,13.288014303195695,0.9628818213866366,0.9647552062054048,1.0019456020221365
20180129-IceEdge-sample0127-0m-500ml_000001_0013.tif,1441,3074,1452,0.5868633920439754,42.83384390833222,0.9272844272844273,1441,48.584952602431706,39.33855414719226,-0.3469650978298201,148.14213562373095,0.9924242424242424,11.885963770483839,2.0,0.5072866065232478,725.0,0.0,138.02819092944884,21.068177331503517,136.0,10.304988274282957,139.35819137581632,19.053158092021473,133.0,10.327725256200152,139.80148014808924,18.37822551545758,128.25,10.270649907535352,0.9873156620605019,0.9904562449236961,1.0031809308652513
20180129-IceEdge-sample0127-0m-500ml_000001_0014.tif,6699,13041,7524,0.9724296140895644,92.35492250108196,0.7446642952423299,6699,196.6965287049277,45.86895809463826,0.09360825638320616,451.9655121145938,0.8903508771929824,14.155494463913776,6.0,0.37916106881624123,423.3333333333333,177.08064703844843,162.93043756395454,25.90186245558608,175.0,12.603158846358694,167.1165797922726,30.304112324022373,193.0,12.577420629386443,174.2847679451068,35.051609586363874,211.0,12.535211044259684,0.9348518489881545,0.9749507665037097,1.042893339259003
20180129-IceEdge-sample0127-0m-500ml_000001_0015.tif,3642,6820,4016,0.9429274053973811,68.09653751789045,0.8646723646723646,3642,122.68602157819834,40.854244051916424,0.07667346602675636,300.49747468305833,0.9068725099601593,13.30897510427016,2.0,0.37616694124107636,1368.0,0.0,204.8671696543684,8.171233183950227,252.0,11.73557665542426,205.5854540477438,7.056699695757811,255.0,11.719618549365322,205.6328077621695,10.713088501889183,255.0,11.716872510342938,0.9962766733765236,0.996506151679347,1.0002303359186817
20180129-IceEdge-sample0127-0m-500ml_000001_0016.tif,3724,9797,4396,0.9302284995480452,68.8588706311231,0.540885984023239,3724,116.67994550796972,42.81930468415907,-0.8297931489997833,291.8589103967955,0.8471337579617835,13.4241061344138,24.0,0.09828141783029001,78.5,18.5,212.2047232502094,16.33136537443883,222.0,11.842784758322214,222.22439045753802,17.485124600697336,233.0,11.840931639559463,218.0587498915904,16.586866012261233,230.0,11.834551388510137,0.9731539016696585,0.9549119374939038,0.9812548003512531
20180129-IceEdge-sample0127-0m-500ml_000001_0017.tif,7548,59508,14570,0.9960118507766381,98.03270925390673,0.21421273697354978,7548,428.89858806657287,38.26677599989065,1.3424233129896999,898.2924599429249,0.5180507892930679,14.453420826756252,29.0,0.09393216746157923,135.66666666666666,105.1168661802451,193.99330245276772,5.779591605780287,197.75,12.870807678093911,198.80902103207055,4.979737275524468,202.0,12.872657914808334,211.68069676441024,7.590291924110826,219.0,12.864943484494155,0.916443045672097,0.9757771626543748,1.064743921908168
20180129-IceEdge-sample0127-0m-500ml_000001_0018.tif,5451,12615,8553,0.9131739100662023,83.30923573260874,0.5951523092040616,5451,154.032822143571,62.7791771764228,-0.1834282500820142,480.17871555019025,0.6373202385128025,13.891821182788473,4.0,0.44267106952852686,2363.0,0.0,198.07773361009197,9.079012322825745,247.0,12.322921111786115,195.43784670040893,10.419889854073336,255.0,12.301494930153993,197.91641308822398,16.219597105158645,255.0,12.29620551007409,1.0008150942074525,1.0135075521668522,1.012682120836168
20180129-IceEdge-sample0127-0m-500ml_000001_0019.tif,4595,12410,8649,0.9170512050483263,76.48879465685201,0.512263099219621,4595,174.6903034309826,69.66115908146386,-0.09700956904603597,444.38582233137674,0.5312752919412649,13.609081178720846,2.0,0.4363438520130577,2004.0,0.0,143.18162018237462,6.145394098953925,169.5,12.04063133357978,147.60101415763654,7.105693765412706,187.25,12.018946477273522,163.48194357225458,12.774619477118701,205.0,12.01999799422764,0.8758252872072825,0.9700585121282294,1.1075936334533403
20180129-IceEdge-sample0127-0m-500ml_000001_0020.tif,4366,7722,4707,0.8913873048259785,74.55845929412517,0.8645544554455445,4366,113.88215212493182,51.616219900705275,1.5485394315195238,298.71067811865476,0.9275547057573826,13.617427119715584,9.0,0.3275309207512597,696.5,607.5,181.28878271288482,6.4387025537611695,202.0,12.039625830332502,191.03447447322154,5.729002158433463,214.0,12.03647074556445,189.24824232427932,9.78314509106924,216.5,12.0226554287093,0.9579416986195526,0.9489846438072997,0.9906496869014466
20180129-IceEdge-sample0127-0m-500ml_000001_0021.tif,1376,2832,1376,0.6681531047810609,41.85663165563593,1.0,1376,49.63869458396343,36.932370625238775,-0.0,146.0,1.0,11.586880465765901,1.0,0.8568313953488372,1179.0,0.0,86.94694767441861,18.985594693228965,58.0,10.103677447275174,86.14244186046511,20.25194252906414,54.5,9.987753075034146,79.58430232558139,20.639574363463613,40.5,9.909619437905926,1.0925137889469263,1.0093392501602945,0.9238686599399318
20180129-IceEdge-sample0127-0m-500ml_000001_0022.tif,9573,38402,15941,0.8543544824853171,110.40254599305993,0.391309679529104,9573,193.74210378844404,100.6859685289987,-0.8979866592300735,693.517856687341,0.6005269431026912,14.700635712814018,39.0,0.21633761621226366,659.3333333333334,465.2929781928323,195.94827756385735,27.285674807958937,213.0,13.132467869022348,198.21113361737352,28.65733147848731,218.0,13.122856946221399,206.06311258718605,31.755947661658713,229.0,13.09333840419623,0.9509138977067082,0.9885836077307121,1.039614217559393
20180129-IceEdge-sample0127-0m-500ml_000001_0023.tif,10435,21306,14242,0.9213388769879398,115.26601688837617,0.6267267267267267,10435,211.27649658763568,82.13594215598825,0.10930856791027485,670.5939751330898,0.7326920376351636,14.828937027379233,24.0,0.30330618112122665,988.6666666666666,750.3005323794519,168.6370441751735,20.44682967172139,194.0,13.264350955749267,172.26873493942654,22.02658905641284,199.0,13.25435618006963,179.93588536434154,26.38459504658366,212.5,13.21624235674264,0.9372062934178488,0.9789184568776799,1.044506917796842
20180129-IceEdge-sample0127-0m-500ml_000002_0000.tif,8062,62700,15639,0.9874125964098216,101.31563161553542,0.25243448038325456,8062,349.0992443618464,55.215499641327085,1.2848507918013479,848.4823227814084,0.5155061065285504,14.555310644827605,40.0,0.09315306375589184,203.33333333333334,197.08937622871056,212.8282563317638,4.811381997412734,218.0,12.969827836406225,226.05509600195543,3.660786855295677,230.0,12.971931836890542,226.1941772356208,4.431252043004378,230.5,12.971039019216148,0.9409095270832987,0.9414884251488973,1.0006152536975506
20180129-IceEdge-sample0127-0m-500ml_000002_0001.tif,7190,32786,12167,0.9941943895234657,95.67963381329288,0.2756690437849858,7190,366.68911582419264,39.4553328252142,1.3474511782443523,752.309703885628,0.5909427138982494,14.393941319682519,19.0,0.1698191933240612,374.3333333333333,449.4888454925464,245.52686209966194,5.173001027927515,254.0,12.807866002286225,249.34003827284602,4.626586897395527,255.0,12.810395637616063,246.28597485355064,4.852674558863504,255.0,12.808749743761677,0.9969177589006435,0.9847069239276709,0.987751411925455
20180129-IceEdge-sample0127-0m-500ml_000002_0002.tif,3484,35856,8161,0.9858181176614724,66.60305228634276,0.27225130890052357,3484,229.67611080732866,38.5436198023636,1.5048904900420284,540.7289680818844,0.42690846709962016,13.344268164228358,21.0,0.1182548794489093,332.0,0.0,166.56677330658835,6.374343247634973,167.0,11.761028079711442,179.0421610537677,6.581498183196819,178.0,11.76131392753429,186.06166227318204,8.056747186158807,186.5,11.758396707311968,0.8952235042489805,0.9303215082204415,1.039205856196666
20180129-IceEdge-sample0127-0m-500ml_000002_0003.tif,2612,5106,2750,0.5990747961533531,57.66889708368147,0.8497072218607677,2612,66.73347152701294,53.43302803319188,0.7580088529398474,213.35533905932738,0.9498181818181818,12.887305159941922,9.0,0.307427258805513,759.0,0.0,159.2064916553597,6.324074901279683,176.0,11.306939310820262,169.40855219509095,5.751260941469235,186.75,11.308053719348168,170.9980248835897,8.631686986140629,189.75,11.294248577309988,0.9310428688503432,0.9397783617914252,1.0093824819815962
20180129-IceEdge-sample0127-0m-500ml_000002_0004.tif,1519,3120,1523,0.7621685607424508,43.977845200199525,0.96875,1519,55.47758495051087,35.91500270252644,1.4832725444726589,151.55634918610403,0.9973736047275115,11.99802449859759,1.0,0.5036208031599737,765.0,0.0,179.67722759275733,17.13467968040903,203.5,10.434405496482606,185.98581943001284,19.04862441161574,218.75,10.419019889719163,180.81893104171166,21.215688523176652,198.5,10.38620504814618,0.9936859296624702,0.9660802535559467,0.9722189121507433
