,area,bbox_area,convex_area,eccentricity,equivalent_diameter,extent,filled_area,major_axis_length,minor_axis_length,orientation,perimeter,solidity,shannon_entropy,num_subregions,proportion_occupied,subregion_mean_area,subregion_std_area,blue_color_std,blue_color_median,blue_color_mean,blue_color_shannon_entropy,red_color_std,red_color_median,red_color_mean,red_color_shannon_entropy,green_color_std,green_color_median,green_color_mean,green_color_shannon_entropy,ratio_r_b,ratio_r_g,ratio_b_g
20180125-PhaeoEx-Cont-3-T5-200ml_000008_0003.tif,5895,10200,6436,0.6946519088270431,86.63571501530869,0.8214882943143813,5895,105.16068391010555,75.64692155630073,1.5600172284254603,341.29646455628165,0.915941578620261,14.03572885063774,20.0,0.4027141645462256,544.75,576.8372279074921,12.715616148221391,216.0,204.05169923293172,12.462505340851255,15.144858459932285,215.0,194.41348967279822,12.45182891306778,16.446768750119737,216.5,194.82748091315557,12.438583241030551,0.9527658451443172,0.9978750880603857,1.0473455709458557
20180125-PhaeoEx-Cont-3-T5-200ml_000022_0008.tif,2023,4209,2088,0.6868388872343888,50.751981232255694,0.8482180293501048,2023,61.23177404333108,44.50384744794688,-0.45382418297493327,179.1126983722081,0.9688697318007663,12.541232624932249,7.0,0.17350469599604548,160.5,56.5,20.120146045852607,255.0,232.7370393904463,10.95290483181999,18.202565405952363,253.5,234.16664570253485,10.959279266006654,21.471555906600376,255.0,236.8379267255857,10.956717525040284,1.0061425818418623,0.9887210589115402,0.9826848368762706
20180125-PhaeoEx-Cont-3-T5-200ml_000038_0009.tif,3527,6580,3639,0.7016681822723354,67.01280380853288,0.837369420702754,3527,81.4529263566355,58.03552509311888,-0.04160672138478675,242.32590180780454,0.9692223138224787,13.355360989779868,30.0,0.22398639070031187,148.5,121.61928301054895,11.25706137954013,237.5,224.83550223173683,11.766521809840132,8.332870365145926,227.5,220.2004341302477,11.774793664869636,10.755407556585117,233.0,223.42242355210104,11.770096014551765,0.9793846254017669,0.9855789344210475,1.0063246949754185
20180125-PhaeoEx-Cont-3-T5-200ml_000037_0012.tif,1507,3600,1597,0.7751462093043003,43.803789720934994,0.7981991525423728,1507,57.13185850053635,36.0948734372947,-1.3757367793444786,168.62741699796953,0.9436443331246086,11.906489036393616,1.0,0.6104844061048441,920.0,0.0,9.274453158802515,158.0,147.64531006190828,10.23794181815229,15.733893727456286,195.0,175.47403259960367,10.376625562982897,9.28475756738844,192.0,168.29543689210809,10.34803081966857,1.1884836201436177,1.0426547257612082,0.8772983557276225
20180125-PhaeoEx-Cont-3-T5-200ml_000011_0000.tif,61397,131936,84314,0.8383532585559303,279.59450697054973,0.5100096358320042,61397,415.89926624364455,226.718059591226,-1.106598999065787,1849.9778848921628,0.7281946058780274,17.47500425262067,207.0,0.06319527012720491,147.85714285714286,190.6405957153247,10.74701745899315,255.0,239.75056367686614,15.888594838764902,10.093597949143488,249.0,238.03551468457525,15.890091038694386,10.524666352387884,249.5,239.26256873963743,15.891471362168408,0.9928465277996075,0.9948715168380665,1.0020395791109296
20180125-PhaeoEx-Cont-3-T5-200ml_000021_0001.tif,100151,203205,131109,0.8968469532142578,357.0941243492691,0.534158608588054,100151,645.5903063000878,285.57104871104883,0.010986533489645954,3153.3273067658297,0.763875859018069,17.900500837573475,134.0,0.6927040169344291,17210.5,29186.386599748865,10.910658137524988,53.5,80.2621193066121,16.276949561253915,8.612087385209291,65.0,86.0440223667163,16.35102368558277,9.560694403704302,63.0,87.51936098922236,16.32057998503422,1.0720377571643298,0.983142717156176,0.9170784429801315
20180125-PhaeoEx-Cont-3-T5-200ml_000001_0008.tif,6826,13188,9115,0.8973218231195796,93.22624701425141,0.7119315811430955,6826,168.49324786911632,74.36902319707534,-1.5496495221428954,605.9249275747777,0.7488754799780581,14.309732720905322,26.0,0.07735130383826545,72.25,11.143944544011335,9.293618708357819,213.0,208.88199862105162,12.726963738280842,10.407113749213826,196.0,191.42042496946428,12.724329886377468,10.129113937856369,202.0,197.65461059245578,12.725715062514617,0.9164046027572453,0.968459194529766,1.0568030666977235
20180125-PhaeoEx-Cont-3-T5-200ml_000031_0005.tif,3782,8096,4902,0.7782417281338688,69.39302528488281,0.6911549707602339,3782,97.37583539360398,61.14859874631201,-0.6626604880665607,346.99494936611666,0.7715218278253774,13.418274494661432,7.0,0.22659968270756214,205.5,49.92744736114595,23.673922427891032,240.0,216.22520100205347,11.837051439942124,23.33236477025862,229.0,205.208909198326,11.832890792882704,24.29282978225669,239.0,213.26128814670625,11.83088668948091,0.9490517675429385,0.9622417222630633,1.013898035040041
20180125-PhaeoEx-Cont-3-T5-200ml_000008_0000.tif,174537,363490,252995,0.9195325322479426,471.41002367306646,0.5080100125156446,174537,820.0380431349485,322.28634587579535,1.32312941218248,3537.861361375347,0.6898831992727129,18.917590369250174,554.0,0.2319622773394753,354.63461538461536,419.35935704385645,18.12868223595288,237.75,217.1028364439965,17.33931430544938,17.46038032204382,226.0,208.76014611094132,17.328538665427086,18.096846086584502,231.0,212.23264537658372,17.330450533241144,0.9615726331829514,0.9836382416122608,1.0229474172494584
20180125-PhaeoEx-Cont-3-T5-200ml_000016_0006.tif,1440,2944,1440,0.7807942113777865,42.81897878766651,1.0,1440,55.41359640617694,34.62176579359676,-1.5707963267948966,152.0,1.0,11.889085647606235,1.0,0.6847222222222222,986.0,0.0,13.203654714425886,107.25,129.98541666666668,10.243589737082225,8.75269444946143,95.0,124.7638888888889,10.342793676525375,8.550440243046502,99.75,128.38333333333333,10.328462830738376,0.959829895447673,0.9718075208793112,1.0124789043229911
20180125-PhaeoEx-Cont-3-T5-200ml_000015_0001.tif,23215,36864,27354,0.827461982135835,171.9251465930066,0.7556966145833334,23215,240.25715232175028,134.90961499513716,0.04169203482268899,873.6122650963196,0.8486875776851649,16.068100869281203,47.0,0.13194055567521,113.625,66.67446568964763,11.470700961049301,241.0,230.58499941618504,14.486632754133574,12.133097082283626,230.0,218.44542356715976,14.482281381675104,13.293583228683612,239.5,227.42253864429665,14.481545584963373,0.9473531414456218,0.9605267132683905,1.0139056612011297
20180125-PhaeoEx-Cont-3-T5-200ml_000014_0003.tif,243253,398490,320344,0.7091563803449064,556.5243381699156,0.6428835714550001,243253,741.9743357708998,523.1299134814777,-1.4210898254335398,5906.065689032453,0.7593493244761881,19.45286297207845,565.0,0.11629866846452049,114.44067796610169,80.07375227207847,7.884162303970509,242.0,229.42050720325443,17.871865350524217,6.925640512801592,228.0,218.51256958323393,17.865427186728425,7.169644512259761,232.0,222.9647556225553,17.86708155164928,0.9524543914883918,0.9800318842909046,1.0289541347585343
20180125-PhaeoEx-Cont-3-T5-200ml_000032_0008.tif,7254,22000,10301,0.9225678037551565,96.1045246463915,0.5342465753424658,7254,187.87328670212335,72.48808963543036,1.5544947537280778,607.7655480083437,0.7042034753907388,14.388744405219555,21.0,0.045078577336641855,70.0,12.832251036613439,12.92554714108974,244.5,228.60443945031372,12.800666464730641,13.601238090136851,231.0,221.6367084301814,12.804010941355733,12.780671827121003,229.0,221.55505335077248,12.807654948762545,0.9695205787040424,1.0003685543533039,1.0318177626415068
20180125-PhaeoEx-Cont-3-T5-200ml_000031_0000.tif,113249,154308,137056,0.7165086801531948,379.72767242026543,0.7984953605776011,113249,492.6685159544754,343.6748046027779,1.549851354899692,2876.7545801887995,0.8262972799439645,18.31539581578658,135.0,0.2110393910763009,313.9866666666667,256.478120877569,10.019443784726526,231.0,212.46542438796433,16.736374149634475,9.47570676934353,218.0,200.90001393610694,16.727770076585752,9.703131057589395,225.0,206.51555725183636,16.728026117869316,0.9455656821095803,0.9728081342129518,1.0288107453758188
20180125-PhaeoEx-Cont-3-T5-200ml_000017_0007.tif,1552,3216,1605,0.8009180775350895,44.45298385293132,0.9509803921568627,1552,59.01556828601026,35.33698443533754,-1.499454475035207,162.72792206135784,0.9669781931464174,12.123660873781754,6.0,0.389819587628866,199.33333333333334,58.70453323400351,18.336324197773173,184.5,159.0839280534074,10.517625662036794,13.57855248820823,169.0,152.67337032639142,10.551939528906532,15.667121139427685,178.0,157.7551507801188,10.54768135450919,0.9597032974640667,0.967786912639002,1.0084230357406248
20180125-PhaeoEx-Cont-3-T5-200ml_000031_0012.tif,1835,4896,2227,0.9020760812370611,48.33626552174903,0.6553571428571429,1835,80.56763197104299,34.77114033167265,-0.12320430895364952,224.4619407771256,0.8239784463403682,12.379587454455374,6.0,0.22070844686648503,167.5,23.5,19.407819663973388,190.0,176.4411329287155,10.79713954168338,18.93829231935112,175.0,160.59057428424995,10.795153216932183,19.986188786033257,181.0,168.60736598048248,10.794781240714615,0.910165173044602,0.9524528975966534,1.0464615937902726
20180125-PhaeoEx-Cont-3-T5-200ml_000023_0002.tif,7442,20086,12971,0.9681468526023455,97.34191641794958,0.49148064984810463,7442,250.18260779355384,62.6414844307111,-1.567619593494707,771.0620125646253,0.5737414231747745,14.42859589569318,35.0,0.048777210427304485,96.0,0.0,14.840960284021381,247.0,232.85287137766383,12.841550977777603,12.497123717573855,230.0,222.2964589192125,12.845116045642076,12.004676800346695,234.0,224.46282443606657,12.845305869569854,0.9546648817513189,0.9903486667678857,1.0373783363132678
20180125-PhaeoEx-Cont-3-T5-200ml_000034_0000.tif,97891,489168,178247,0.9418265711603758,353.0420545397812,0.4220385603669788,97891,754.1661458165734,253.4746804785249,0.08772606905717227,4134.452198446857,0.5491873636021924,18.15085491710537,373.0,0.02817419374610536,233.8,178.12400175158876,10.350406689470725,196.5,194.13983201001977,16.565155441930482,10.232698377147457,180.0,180.10496220513232,16.567027548035323,10.020791847441162,189.0,188.29742011259427,16.567410665413927,0.9277074175887662,0.9564919269602145,1.0310275727300564
20180125-PhaeoEx-Cont-3-T5-200ml_000015_0005.tif,106558,151218,118481,0.8703512675846549,368.3393264476242,0.7709861804500397,106558,540.4754091184163,266.14705541251146,-0.18101372759172685,2004.1534623807734,0.8993678311290418,18.263442200111626,220.0,0.15651570036975168,128.75221238938053,103.27320335161278,7.526779394221134,203.0,196.06756109618982,16.682064464923297,7.109917836799114,185.0,178.0127719113426,16.677703777251967,7.39951518763626,192.0,185.58552788515132,16.6786445541939,0.9079154701374104,0.959195331338039,1.0564808761248088
20180125-PhaeoEx-Cont-3-T5-200ml_000030_0003.tif,250828,357035,312457,0.6804550866645109,565.1231091778423,0.7423164910224653,250828,719.4592679735853,527.2124052557784,-1.568689672859147,4662.980156401965,0.8027600597842263,19.443798906104174,360.0,0.22727127752882453,366.5844155844156,330.8583818615377,11.033595300907917,222.0,203.13936923045418,17.86649740362843,9.436090691074762,203.0,186.84767538726283,17.854380608606714,9.549406642109375,209.0,191.34664847984826,17.857597906561484,0.9198004113879618,0.9764878395920311,1.0616301400849877
20180125-PhaeoEx-Cont-3-T5-200ml_000029_0022.tif,4754,9492,5174,0.8215821015421361,77.80090485123527,0.720739842328684,4754,107.80906629883549,61.46089351925774,0.41661959482227584,301.53910524340097,0.9188248936992656,13.698000417205437,5.0,0.43500210349179635,413.6,328.10522702328285,19.47071033028771,236.0,199.11373891452905,12.125393242298152,18.019499361915763,226.0,186.81834504494867,12.106936457902238,17.93872662950447,231.0,189.64475763221927,12.107641109377823,0.9382493948604006,0.9850962788396613,1.0499300977286865
20180125-PhaeoEx-Cont-3-T5-200ml_000037_0000.tif,14813,144231,25415,0.9090519892442049,137.33352604576191,0.3391254578754579,14813,255.0667837562771,106.28191869824437,0.8828321355703864,934.9209229614208,0.5828447767066693,15.402916793086384,52.0,0.07601431175318976,138.0,107.95678147604562,14.936689069678566,222.75,206.87638458597172,13.81038915228439,13.672131461190302,210.0,199.71505590834334,13.822693013215714,13.941499007581443,212.0,201.60931858801783,13.82196508473871,0.9653835371690173,0.9906042900549387,1.0261251118492045
20180125-PhaeoEx-Cont-3-T5-200ml_000017_0010.tif,1525,3311,1541,0.8857503925274908,44.06461512053774,0.9259259259259259,1525,66.23889541863083,30.745569605309836,-1.5028031969611946,165.55634918610406,0.9896171317326411,12.110154020912233,17.0,0.25508196721311477,102.5,29.5,15.95865155384391,235.5,213.16283761165482,10.516072070416042,14.90590849877576,235.0,217.25210727859,10.530915591663542,13.156440526796432,241.0,215.94287648689112,10.528585195738628,1.0191837832182788,1.0060628570527463,0.987126044996418
20180125-PhaeoEx-Cont-3-T5-200ml_000016_0008.tif,4454,11880,6025,0.9910771252514541,75.30610156056689,0.5745614035087719,4454,227.39764013927882,30.309752723292238,1.46098877175198,514.651803615609,0.739253112033195,13.670176834212276,3.0,0.214863044454423,951.0,0.0,6.7748110404496344,199.0,187.77839184520272,12.087703398296602,7.904896628392129,181.0,171.57672537513912,12.087295642673546,5.895841704499166,190.5,178.3365703096093,12.083524803302902,0.9137192181120625,0.9620950154938247,1.0529438326597933
20180125-PhaeoEx-Cont-3-T5-200ml_000017_0002.tif,4059,8510,5070,0.9862383156769222,71.88935465060196,0.8005917159763314,4059,191.4822345517087,31.657743819070365,1.5345673513684275,439.74011537017765,0.8005917159763314,13.559635261688008,7.0,0.259669869425967,1044.0,0.0,11.661762019178342,207.0,200.06392665497472,11.97092725124632,8.586545452142637,189.5,186.79113568291902,11.97671134934074,7.067759533883949,196.0,192.10351945042734,11.978284406325542,0.9336572504900115,0.9723462444482742,1.0414381122601013
20180125-PhaeoEx-Cont-3-T5-200ml_000038_0004.tif,8147,13923,9922,0.5663871432885267,101.84833121341444,0.7831394789964433,8147,116.42002203174988,95.94631674257326,-1.1109345649258018,494.69343417595167,0.8211046160048378,14.56892563447048,40.0,0.12937277525469498,204.5,206.75649929325076,8.325063154539052,207.0,200.70663161731767,12.98123199279693,5.635917116830065,189.0,185.27269942345094,12.985922136149592,4.793753984928864,192.0,188.51669069156355,12.9873191541063,0.9231020317091754,0.9827920209281619,1.0646623961042174
20180125-PhaeoEx-Cont-3-T5-200ml_000027_0003.tif,2467,5390,3076,0.6816408479420533,56.04535624707587,0.7489374620522161,2467,73.66120594794211,53.896941181280106,0.03629615938040641,259.29646455628165,0.8020156046814044,12.85190755680763,10.0,0.018646128901499796,,,3.416178408937854,242.5,240.6747775839887,11.267211747131974,4.35424215781555,231.0,230.65049817834307,11.267352223199758,5.093592234144575,241.0,239.5219458479858,11.267037070989042,0.9583492732131125,0.9629618587214006,1.0048130526491905
20180125-PhaeoEx-Cont-3-T5-200ml_000038_0000.tif,4707,9374,5659,0.7080487249794287,77.41536370171241,0.7230414746543778,4707,96.9031870383471,68.42950156411538,-1.0979464026580201,340.651803615609,0.8317723979501679,13.776059441930826,37.0,0.04928829403016784,,,5.318180573411656,194.0,189.31559876460307,12.187132123463714,4.75207091171496,181.75,178.9214052549461,12.192628455214253,3.574719054163094,182.0,180.80822567866977,12.194954389627707,0.945095947837974,0.989564521101618,1.0470519140044685
20180125-PhaeoEx-Cont-3-T5-200ml_000033_0005.tif,11374,25228,15862,0.9358620737433027,120.34046111685687,0.5718451483157365,11374,244.80791808709571,86.26211920591835,1.3929895190148114,800.0914498161482,0.7170596393897365,15.013216324481762,74.0,0.0985581149991208,329.0,272.0,28.34328766789606,255.0,232.43160450370226,13.426741170939378,31.87146481710738,255.0,234.39881088851124,13.42863587074642,32.57365000942432,255.0,235.90572846715796,13.42950318759188,1.0084635925007248,0.9936122043816477,0.9852732530658349
20180125-PhaeoEx-Cont-3-T5-200ml_000012_0003.tif,5847,12144,7280,0.9528610751110237,86.28227870232969,0.689504716981132,5847,176.61313564829607,53.585651137616566,1.4746672736939372,442.5512985522207,0.8031593406593407,14.09473740527517,60.0,0.18864374893107577,500.5,400.5,4.774809100713531,246.5,239.80091112604237,12.508855472861947,3.342261501641458,234.0,231.86824539532873,12.509803422991732,3.386787541934472,238.0,235.7161529530223,12.511110062135419,0.9669197848604332,0.9836756730097304,1.0173291398228197
20180125-PhaeoEx-Cont-3-T5-200ml_000029_0003.tif,15465,27750,16958,0.5780914907441801,140.32337495702308,0.7304458719062913,15465,162.47486392254706,132.57493205283498,1.1352226207655844,565.9310242291875,0.9119589574242245,15.470701872566046,130.0,0.08464274167474943,129.25,69.38434621728449,11.625974075937448,242.25,223.24507772021622,13.882601752726465,10.338912588500014,228.25,217.1272317004469,13.890133497150062,10.205511359714551,232.0,217.39993330601868,13.88494458714025,0.9725958301869636,0.9987456224046403,1.0268865970900265
