,area,bbox_area,convex_area,eccentricity,equivalent_diameter,extent,filled_area,major_axis_length,minor_axis_length,orientation,perimeter,solidity,shannon_entropy,num_subregions,proportion_occupied,subregion_mean_area,subregion_std_area,blue_color_std,blue_color_median,blue_color_mean,blue_color_shannon_entropy,red_color_std,red_color_median,red_color_mean,red_color_shannon_entropy,green_color_std,green_color_median,green_color_mean,green_color_shannon_entropy,ratio_r_b,ratio_r_g,ratio_b_g
20180127-PhaeoEx-Anti-3-T7-200ml_000004_0006.tif,4735,9266,5309,0.8124574881487538,77.64527831311442,0.7396126210559201,4735,104.48835892758704,60.91884868259922,-1.2885681058425507,305.2731239591687,0.8918817103032586,13.787021717445338,42.0,0.070960929250264,,,8.74114110257501,250.0,238.59379341136963,12.199739837086085,9.045636895519657,255.0,245.08919567102552,12.2034135436506,8.92766509056299,255.0,246.91946611063486,12.20350999772275,1.0272236849365854,0.9925875814149491,0.9662818293332336
20180127-PhaeoEx-Anti-3-T7-200ml_000001_0021.tif,5136,7828,5143,0.7234822162836788,80.86629892458166,0.9839080459770115,5136,99.13460433216908,68.43688195869507,-1.564509655497787,281.2132034355964,0.9986389266964807,13.843962526557757,24.0,0.4661214953271028,415.6,674.8823897539482,6.987507962645023,174.5,170.10992209001247,12.269130557034622,7.022701200659358,149.0,148.20819394623794,12.254368661503383,4.27697655946663,154.0,150.74051299237402,12.261007494225924,0.8712495551424367,0.9832008064994167,1.12849504564588
20180127-PhaeoEx-Anti-3-T7-200ml_000003_0002.tif,1776,3675,1793,0.8022264274264135,47.55284882580274,0.9441786283891547,1776,62.52021417456155,37.325811917223675,1.529876132526567,168.04163056034264,0.9905186837702176,12.363044170635499,8.0,0.22916666666666666,115.66666666666667,50.37415563119203,6.771910745142657,212.0,205.61554603306794,10.78027797946381,8.373067345604401,204.0,194.4066930810517,10.775449308219796,7.2310300540987305,212.5,204.7392105324301,10.77974062491822,0.9454863546639923,0.9495332749183296,1.0042802524165202
20180127-PhaeoEx-Anti-3-T7-200ml_000006_0025.tif,4769,7800,4884,0.6615973379503216,77.92354835890106,0.9157066052227343,4769,91.95562896038561,68.9537831108221,-1.386581848806371,278.7695526217005,0.9764537264537264,13.801860806025054,27.0,0.06521283287901028,88.0,0.0,7.573572589296894,255.0,251.16107621504293,12.217279553044099,6.98226552523412,255.0,249.72238047282778,12.217245017589276,8.817245925741481,255.0,250.3564085524633,12.216182473600185,0.9942718204432945,0.9974674981027991,1.0032140885357483
20180127-PhaeoEx-Anti-3-T7-200ml_000009_0062.tif,8525,13908,9217,0.6506186759330121,104.18429401242426,0.8206584520600693,8525,123.95714823384277,94.13362792086767,0.880150550916664,398.7523086789974,0.9249213410003255,14.556914527305436,21.0,0.46099706744868035,1269.0,1656.7826250497276,15.46289626051934,210.75,201.6406004782324,12.989909986679066,15.289193312262462,193.75,187.77187401420588,12.953976809899554,16.41544808505926,202.25,195.05211194598078,12.97254614630982,0.9312205655451633,0.9626754211521117,1.0337780937951406
20180127-PhaeoEx-Anti-3-T7-200ml_000001_0023.tif,1836,4032,1956,0.8019912127203767,48.34943437242838,0.8196428571428571,1836,63.68456596456947,38.04107311754575,0.39063981436626616,177.698484809835,0.9386503067484663,12.25958654611296,3.0,0.4934640522875817,451.5,19.5,38.099504138823015,193.5,172.3710399626939,10.599977164359132,27.96182319077223,183.0,171.22598723078568,10.718141127923229,30.168557937623454,182.25,177.1571946525364,10.705128172076487,0.993357046913704,0.9665200872401273,0.9729835714590667
20180127-PhaeoEx-Anti-3-T7-200ml_000002_0045.tif,3035,8910,4543,0.8772824210479208,62.163349477575764,0.4941387170302833,3035,111.76983003136522,53.64667213483738,-0.6983385802606275,317.095454429505,0.6680607528065156,13.14286948601636,17.0,0.10280065897858319,,,9.658402177531055,210.0,205.68521579580477,11.56022384800435,10.449996484679128,192.0,186.49525406054977,11.558837336847207,11.426016980334882,204.0,198.2662786353023,11.558155666339783,0.906702279689825,0.9406302238798532,1.037419056894436
20180127-PhaeoEx-Anti-3-T7-200ml_000001_0035.tif,3161,5875,3260,0.9606668460479704,63.440603724332966,0.9354838709677419,3161,123.20120197237911,34.21339988826655,1.5482092111272177,273.25483399593907,0.9696319018404908,13.100133143183829,6.0,0.4226510597912053,1329.0,0.0,24.810990304666554,214.0,182.8005534337022,11.479884542784761,11.333083238186989,196.0,172.7607284735608,11.531242144310108,12.328582031474104,192.0,173.66219099368567,11.538161708216059,0.9450777102609669,0.9948091031503935,1.0526214853545686
20180127-PhaeoEx-Anti-3-T7-200ml_000003_0014.tif,3105,7680,3861,0.7577319134473608,62.87613845015198,0.6064453125,3105,86.82259940511594,56.65747394117277,-0.44193101848398886,280.99494936611666,0.8041958041958042,13.151164346375108,13.0,0.14524959742351046,119.0,0.816496580927726,17.030747580510795,209.75,194.47427865904527,11.567611065829336,16.117237004176136,189.0,173.9188120857808,11.56980096398822,17.322636361412172,193.0,178.51994335846385,11.565898603786058,0.8943023894213662,0.9742262338530766,1.0893700446036187
20180127-PhaeoEx-Anti-3-T7-200ml_000007_0035.tif,3081,5940,3120,0.9238814140087759,62.63266749332202,0.8625419932810751,3081,103.60444057681104,39.64723231866831,-1.457621180429452,245.35533905932738,0.9875,13.1644601007969,32.0,0.17039922103213243,81.5,28.5,7.991676717676644,247.5,238.45105969227964,11.580595541618417,6.002243280343517,229.0,223.31541846317305,11.582028813196986,7.961577671242976,235.0,226.78837448683842,11.577493311748208,0.9365251668470709,0.9846863577927054,1.0514254102831804
